CtgrNmL,CtgrNmM,Name
1001295,1001768,원피스
1001295,1001764,블라우스
1001295,1001766,티셔츠
1001295,1001765,셔츠
1001295,1001762,니트/스웨터
1001295,1001761,가디건
1001295,1001763,베스트/조끼
1001295,1001770,바지/팬츠
1001295,1001769,스커트/치마
1001295,1001771,청바지
1001295,1001767,레깅스
1001295,1001760,점퍼
1001295,1001759,자켓
1001295,1001758,코트
1001295,1001772,정장
1001295,1001773,트레이닝복
1001296,1001718,셔츠/남방
1001296,1001719,티셔츠
1001296,1001721,바지/팬츠
1001296,1001720,정장/수트
1001296,1001722,청바지
1001296,1001717,조끼/베스트
1001296,1001716,니트/스웨터
1001296,1001715,가디건
1001296,1001713,자켓
1001296,1001712,코트
1001296,1001714,점퍼
1001296,1001723,트레이닝복
1001311,1001819,티셔츠
1001311,1001868,블라우스
1001311,1001820,원피스
1001311,1001865,가디건
1001311,1001824,바지/팬츠
1001311,1001823,청바지
1001311,1001821,스커트/치마
1001311,1001869,셔츠/남방
1001311,1001862,코트
1001311,1001863,자켓
1001311,1001864,점퍼
1001311,1001825,트레이닝복
1001311,1001866,니트/스웨터
1001311,1001827,테마의상
1001311,1001822,정장세트
1001311,1001826,비치웨어
1001311,1001867,조끼/베스트
1001312,1001841,티셔츠
1001312,1059019,후드티
1001312,1001840,셔츠/남방
1001312,1001843,청바지
1001312,1059018,맨투맨
1001312,1001834,자켓
1001312,1001844,바지/팬츠
1001312,1001837,가디건
1001312,1001836,점퍼
1001312,1001842,정장/수트
1001312,1001835,코트
1001312,1001838,니트/스웨터
1001312,1001839,조끼/베스트
1001312,1001845,트레이닝복
1001312,1001846,비치웨어
1001312,1001847,테마의류
